UID          PID    PPID  C STIME TTY          TIME CMD
root        1237       2  0 15:13 ?        00:00:00 [psimon]
xl04        1240    1221  0 15:13 ?        00:00:00 /usr/bin/pipewire
xl04        1242    1221  0 15:13 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
xl04        1243    1221  0 15:13 ?        00:00:00 /usr/bin/wireplumber
xl04        1244    1221  0 15:13 ?        00:00:00 /usr/bin/pipewire-pulse
xl04        1245    1221  0 15:13 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
xl04        1246    1221  0 15:13 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
xl04        1269    1213  0 15:13 ?        00:00:00 xfce4-session
xl04        1315    1269  0 15:13 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
xl04        1325    1221  0 15:13 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
xl04        1332    1325  0 15:13 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
xl04        1344    1221  0 15:13 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
xl04        1356    1221  0 15:13 ?        00:00:00 /usr/bin/gpg-agent --supervised
xl04        1358    1269  0 15:13 ?        00:00:00 xfwm4 --display :0.0 --sm-client-id 20dcac717-a076-4f5d-b3da-f33f05cc1d9d
xl04        1362    1221  0 15:13 ?        00:00:00 /usr/libexec/gvfsd
xl04        1368    1221  0 15:13 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
xl04        1388    1269  0 15:13 ?        00:00:00 xfsettingsd --display :0.0 --sm-client-id 2384869cf-dda8-4dcf-ac33-c897e0c1febd
root        1392       1  0 15:13 ?        00:00:00 /usr/libexec/upowerd
xl04        1398    1269  0 15:13 ?        00:00:00 xfce4-panel --display :0.0 --sm-client-id 20f57c886-1309-4d17-9a16-0777589301cb
xl04        1403    1269  0 15:13 ?        00:00:00 Thunar --sm-client-id 25bf44ba3-4773-4485-b65f-3937f3e103d1 --daemon
xl04        1405    1221  0 15:13 ?        00:00:00 /usr/libexec/xdg-permission-store
xl04        1414    1269  0 15:13 ?        00:00:00 xfdesktop --display :0.0 --sm-client-id 2e4678238-3340-4d0d-8202-f859934c34b5
xl04        1415    1221  0 15:13 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
xl04        1416    1398  0 15:13 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
root        1423       1  0 15:13 ?        00:00:00 /usr/libexec/udisks2/udisksd
xl04        1431    1398  0 15:13 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777231 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
xl04        1432    1398  0 15:13 ?        00:00:02 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777232 genmon Generic Monitor Show output of a command.
xl04        1434    1398  0 15:13 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777233 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
xl04        1435    1398  0 15:13 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777234 notification-plugin Notification Plugin Notification plugin for the Xfce panel
xl04        1436    1398  0 15:13 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777235 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
xl04        1442    1398  0 15:13 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libactions.so 2200 16777236 actions Action Buttons Log out, lock or other system actions
xl04        1448    1221  0 15:13 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
xl04        1457    1221  0 15:13 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
xl04        1462    1221  0 15:13 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
xl04        1470    1221  0 15:13 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
xl04        1479    1221  0 15:13 ?        00:00:00 /usr/libexec/gvfsd-metadata
xl04        1489    1362  0 15:13 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
xl04        1510    1221  0 15:13 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
xl04        1550    1269  0 15:13 ?        00:00:00 xfce4-power-manager --restart --sm-client-id 217160dcb-27fa-4106-9ff1-36583877e75f
xl04        1559    1269  0 15:13 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
xl04        1574    1269  0 15:13 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
xl04        1593    1269  0 15:13 ?        00:00:00 nm-applet
xl04        1598    1269  0 15:13 ?        00:00:00 light-locker
xl04        1600    1221  0 15:13 ?        00:00:00 /usr/libexec/dconf-service
xl04        1616       1  0 15:13 ?        00:00:00 xcape -e Super_L Control_L Escape
xl04        1626    1269  0 15:13 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
xl04        1632       1  0 15:13 ?        00:00:01 /usr/bin/vmtoolsd -n vmusr --blockFd 3
xl04        1635    1269  0 15:13 ?        00:00:00 xiccd
colord      1672       1  0 15:13 ?        00:00:00 /usr/libexec/colord
xl04        1753    1221  0 15:13 ?        00:00:00 /usr/libexec/bluetooth/obexd
xl04        2142       1  0 15:14 ?        00:00:01 /usr/bin/qterminal
xl04        2145    2142  0 15:14 pts/0    00:00:01 /usr/bin/zsh
root        4557       2  0 15:19 ?        00:00:00 [kworker/1:1-events]
xl04        6693    1221  0 15:23 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/xfconf/xfconfd
root        7108       2  0 15:24 ?        00:00:00 [kworker/1:0-events]
xl04        7541    2145  0 15:25 pts/0    00:00:00 ps -ef
